id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute_estimee,indicateur_retour,profit_net_estime,mois,nombre_commandes_par_client,valeur_vie_client
CMD100000,2025-12-11,C0379,Brazzaville,Mode,Produit_Mode_9,49.72,3,0.07,2.45,Mobile Money,Email,1.0,Livrée,138.7188,62.42346,0,58.973459999999996,2025-12,25,8995.6496
CMD100001,2025-07-27,C1827,Libreville,Beauté,Produit_Beauté_3,37.18,2,0.1,6.89,Paiement à la livraison,Instagram Ads,8.04,Livrée,66.924,33.462,0,18.532000000000004,2025-07,4,562.8648000000001
CMD100004,2025-11-28,C0003,Libreville,Électronique,Produit_Électronique_45,498.71,2,0.02,5.16,Mobile Money,Email,0.55,Livrée,977.4716,195.49432000000002,0,189.78432,2025-11,26,9473.0849
CMD100005,2025-10-17,C0079,Dakar,Maison,Produit_Maison_7,71.17,3,0.1,8.63,Virement,Instagram Ads,5.45,Livrée,192.159,67.25564999999999,0,53.17564999999998,2025-10,17,4576.7669
CMD100006,2025-07-24,C0183,Abidjan,Mode,Produit_Mode_3,23.04,3,0.1,3.59,Virement,Instagram Ads,9.23,Livrée,62.208000000000006,27.993600000000004,0,15.173600000000004,2025-07,16,3513.1234999999997
CMD100007,2025-10-26,C0193,Lomé,Beauté,Produit_Beauté_41,26.08,3,0.14,2.51,Virement,Instagram Ads,6.16,Livrée,67.2864,33.6432,0,24.973200000000002,2025-10,21,5925.8107
CMD100008,2025-12-06,C0740,Abidjan,Mode,Produit_Mode_3,52.19,3,0.15,4.05,Carte,Email,1.77,Livrée,133.0845,59.888025,0,54.068025,2025-12,3,694.155
CMD100009,2025-12-17,C0148,Dakar,Électronique,Produit_Électronique_7,562.75,2,0.08,9.26,Mobile Money,Instagram Ads,5.31,Livrée,1035.46,207.092,0,192.52200000000002,2025-12,19,3715.9436
CMD100010,2025-10-06,C0325,Abidjan,Électronique,Produit_Électronique_24,305.29,3,0.09,8.43,Mobile Money,Instagram Ads,14.3,Livrée,833.4417000000001,166.68834000000004,0,143.95834000000002,2025-10,15,3406.9066000000003
CMD100011,2025-09-29,C0136,Cotonou,Électronique,Produit_Électronique_39,489.25,3,0.08,2.0,Carte,Instagram Ads,8.56,Livrée,1350.3300000000002,270.06600000000003,0,259.50600000000003,2025-09,12,4025.1734
CMD100012,2025-12-10,C0373,Abidjan,Mode,Produit_Mode_25,41.91,2,0.08,7.62,Paiement à la livraison,Instagram Ads,8.38,Livrée,77.1144,34.701480000000004,0,18.701480000000004,2025-12,21,4226.0977
CMD100013,2025-09-08,C1310,Brazzaville,Mode,Produit_Mode_44,21.26,2,0.23,5.29,Mobile Money,Google Ads,4.33,Livrée,32.7404,14.73318,0,5.113180000000002,2025-09,3,122.13419999999999
CMD100014,2025-09-22,C1589,Abidjan,Électronique,Produit_Électronique_21,572.02,1,0.1,7.83,Carte,Email,1.51,Retournée,514.818,102.9636,1,-9.340000000000003,2025-09,4,607.5171
CMD100015,2025-10-11,C0108,Dakar,Mode,Produit_Mode_14,55.99,2,0.25,8.87,Virement,Instagram Ads,12.98,Livrée,83.985,37.79325,0,15.943250000000003,2025-10,16,5010.4933
CMD100016,2025-12-15,C0329,Kinshasa,Mode,Produit_Mode_9,53.31,3,0.22,2.91,Virement,Instagram Ads,8.87,Livrée,124.7454,56.13543,0,44.355430000000005,2025-12,18,2658.4415
CMD100017,2025-09-02,C1103,Cotonou,Maison,Produit_Maison_38,144.22,3,0.09,9.72,Paiement à la livraison,Instagram Ads,14.82,Livrée,393.7206,137.80220999999997,0,113.26220999999998,2025-09,3,892.7127
CMD100018,2025-10-11,C0070,Cotonou,Mode,Produit_Mode_49,30.98,3,0.27,3.29,Carte,Google Ads,6.21,Livrée,67.8462,30.53079,0,21.03079,2025-10,17,2751.9487999999997
CMD100019,2025-07-13,C0313,Dakar,Maison,Produit_Maison_39,86.14,3,0.29,5.59,Paiement à la livraison,Instagram Ads,14.74,Livrée,183.47820000000002,64.21737,0,43.88737,2025-07,22,5876.8806
CMD100020,2025-07-17,C0305,Kinshasa,Maison,Produit_Maison_36,119.81,3,0.03,6.72,Virement,Google Ads,6.18,Livrée,348.6471,122.026485,0,109.126485,2025-07,16,5642.1036
CMD100021,2025-07-03,C0234,Douala,Maison,Produit_Maison_50,104.67,3,0.04,5.99,Virement,Email,1.5,Livrée,301.4496,105.50735999999999,0,98.01736,2025-07,21,5790.9989
CMD100022,2025-12-12,C0150,Lomé,Électronique,Produit_Beauté_1,10.73,2,0.05,8.82,Paiement à la livraison,Instagram Ads,14.28,Livrée,20.387,4.0774,0,-19.0226,2025-12,16,4194.6975
CMD100023,2025-09-06,C1560,Kinshasa,Électronique,Produit_Électronique_41,370.82,3,0.1,2.56,Carte,Instagram Ads,8.73,Livrée,1001.214,200.24280000000002,0,188.95280000000002,2025-09,5,2062.581
CMD100024,2025-09-15,C1039,Dakar,Électronique,Produit_Électronique_24,243.32,2,0.07,8.47,Mobile Money,Influenceur,8.7,Livrée,452.57519999999994,90.51504,0,73.34504,2025-09,4,1123.3002
CMD100025,2025-08-11,C0398,Cotonou,Beauté,Produit_Beauté_39,18.99,1,0.05,2.41,Carte,Instagram Ads,11.28,Livrée,18.040499999999998,9.020249999999999,0,-4.6697500000000005,2025-08,13,2913.967
CMD100026,2025-09-21,C0057,Kinshasa,Maison,Produit_Maison_16,57.58,3,0.17,2.3,Virement,Instagram Ads,10.43,Livrée,143.3742,50.180969999999995,0,37.45097,2025-09,16,3719.3914999999997
CMD100027,2025-07-15,C0290,Abidjan,Beauté,Produit_Beauté_47,41.0,1,0.08,6.25,Carte,Email,1.43,Livrée,37.72,18.86,0,11.18,2025-07,21,3863.6962
CMD100028,2025-11-02,C1557,Dakar,Électronique,Produit_Beauté_9,8.8,1,0.16,5.43,Mobile Money,Instagram Ads,12.44,Livrée,7.392,1.4784000000000002,0,-16.3916,2025-11,1,7.392
CMD100029,2025-12-16,C0281,Kinshasa,Beauté,Produit_Beauté_14,26.49,2,0.11,9.64,Paiement à la livraison,Instagram Ads,10.49,Livrée,47.1522,23.5761,0,3.4460999999999995,2025-12,14,3892.0984
CMD100030,2025-11-16,C1412,Douala,Maison,Produit_Maison_29,66.93,2,0.24,8.84,Virement,Instagram Ads,5.14,Livrée,101.73360000000001,35.60676,0,21.62676,2025-11,3,418.9671
CMD100031,2025-11-10,C0126,Douala,Maison,Produit_Maison_38,193.75,2,0.08,9.59,Mobile Money,Google Ads,6.25,Livrée,356.5,124.77499999999999,0,108.93499999999999,2025-11,14,5554.291700000001
CMD100032,2025-08-26,C0362,Kinshasa,Maison,Produit_Maison_5,247.48,1,0.07,6.6,Mobile Money,Instagram Ads,11.42,Livrée,230.15639999999996,80.55473999999998,0,62.534739999999985,2025-08,13,4002.2208
CMD100033,2025-07-09,C0145,Dakar,Mode,Produit_Mode_43,41.26,1,0.1,4.19,Virement,Google Ads,6.26,Livrée,37.134,16.7103,0,6.260299999999999,2025-07,15,3786.3293
CMD100034,2025-11-02,C0067,Abidjan,Électronique,Produit_Électronique_16,413.24,3,0.13,2.95,Paiement à la livraison,Instagram Ads,13.45,Livrée,1078.5564,215.71128,0,199.31128,2025-11,20,8476.4071
CMD100036,2025-10-17,C0373,Kinshasa,Beauté,Produit_Beauté_4,28.94,3,0.09,9.22,Carte,Influenceur,5.65,Livrée,79.0062,39.5031,0,24.633100000000006,2025-10,21,4226.0977
CMD100037,2025-10-12,C1639,Kinshasa,Mode,Produit_Mode_13,17.09,2,0.07,9.65,Mobile Money,Instagram Ads,5.53,Livrée,31.787399999999998,14.30433,0,-0.8756700000000004,2025-10,4,612.8174
CMD100038,2025-08-18,C0071,Douala,Beauté,Produit_Beauté_5,18.17,1,0.1,2.73,Mobile Money,Instagram Ads,11.73,Livrée,16.353,8.1765,0,-6.2835,2025-08,15,3219.3307999999997
CMD100039,2025-10-22,C1753,Kinshasa,Mode,Produit_Mode_42,39.79,3,0.23,8.7,Carte,Instagram Ads,10.46,Livrée,91.9149,41.361705,0,22.201704999999997,2025-10,2,158.5347
CMD100040,2025-11-16,C1984,Cotonou,Maison,Produit_Maison_11,62.42,1,0.07,4.97,Mobile Money,Google Ads,7.93,Livrée,58.050599999999996,20.317709999999998,0,7.41771,2025-11,3,212.885
CMD100041,2025-10-13,C0109,Libreville,Beauté,Produit_Beauté_11,21.93,1,0.04,3.99,Carte,Email,1.22,Livrée,21.052799999999998,10.526399999999999,0,5.316399999999999,2025-10,8,1587.7277
CMD100042,2025-10-06,C0199,Abidjan,Mode,Produit_Mode_19,31.39,2,0.08,9.7,Paiement à la livraison,Instagram Ads,6.18,Livrée,57.757600000000004,25.990920000000003,0,10.110920000000004,2025-10,12,3015.8170999999998
CMD100043,2025-10-17,C1496,Kinshasa,Mode,Produit_Mode_10,17.62,1,0.29,6.22,Paiement à la livraison,Instagram Ads,5.12,Livrée,12.5102,5.629589999999999,0,-5.71041,2025-10,2,140.1902
CMD100044,2025-08-18,C0029,Kinshasa,Maison,Produit_Maison_48,138.95,2,0.1,7.9,Carte,Instagram Ads,7.94,Livrée,250.10999999999999,87.53849999999998,0,71.69849999999998,2025-08,12,4340.956099999999
CMD100048,2025-07-21,C0298,Abidjan,Beauté,Produit_Beauté_17,27.07,1,0.04,10.0,Virement,Email,0.58,Livrée,25.987199999999998,12.993599999999999,0,2.413599999999999,2025-07,14,2491.3373
CMD100049,2025-08-22,C0643,Douala,Maison,Produit_Maison_30,169.3,1,0.08,4.2,Virement,Google Ads,4.03,Livrée,155.75600000000003,54.51460000000001,0,46.284600000000005,2025-08,3,687.3199999999999
CMD100050,2025-09-19,C1916,Cotonou,Électronique,Produit_Électronique_40,375.34000000000003,3,0.09,3.07,Paiement à la livraison,Email,1.34,Retournée,1024.6782,204.93564000000003,1,-4.409999999999997,2025-09,3,1196.1306
CMD100051,2025-11-22,C0150,Lomé,Électronique,Produit_Électronique_9,375.34000000000003,1,0.08,7.09,Virement,Google Ads,7.9,Livrée,345.31280000000004,69.06256,0,54.07256,2025-11,16,4194.6975
CMD100052,2025-09-28,C1800,Kinshasa,Mode,Produit_Mode_11,45.4,1,0.15,9.41,Virement,Google Ads,7.75,Livrée,38.589999999999996,17.365499999999997,0,0.20549999999999713,2025-09,5,1957.7008
CMD100053,2025-10-21,C1440,Abidjan,Mode,Produit_Mode_43,65.78,1,0.17,3.03,Carte,Influenceur,5.21,Livrée,54.5974,24.568830000000002,0,16.32883,2025-10,3,419.2319
CMD100054,2025-11-19,C0339,Kinshasa,Électronique,Produit_Électronique_17,443.99,1,0.1,3.35,Mobile Money,Influenceur,4.65,Retournée,399.591,79.91820000000001,1,-8.0,2025-11,17,3765.4956
CMD100055,2025-07-30,C1520,Kinshasa,Électronique,Produit_Électronique_19,287.21,1,0.05,4.57,Virement,Email,1.84,Livrée,272.8495,54.5699,0,48.15989999999999,2025-07,5,1475.8953999999999
CMD100056,2025-12-02,C0175,Douala,Électronique,Produit_Électronique_33,414.7,3,0.01,3.67,Virement,Influenceur,6.95,Livrée,1231.6589999999999,246.3318,0,235.7118,2025-12,10,3050.3889
CMD100057,2025-11-03,C0026,Douala,Mode,Produit_Mode_18,69.6,2,0.18,7.5,Paiement à la livraison,Google Ads,3.74,Annulée,0.0,0.0,0,-11.24,2025-11,23,4503.9286
CMD100059,2025-10-22,C0218,Douala,Mode,Produit_Mode_35,15.11,2,0.1,5.45,Mobile Money,Google Ads,5.93,Livrée,27.198,12.2391,0,0.8591000000000006,2025-10,16,5117.3332
CMD100060,2025-07-10,C1192,Abidjan,Électronique,Produit_Électronique_9,567.49,2,0.17,4.92,Paiement à la livraison,Instagram Ads,8.3,Livrée,942.0333999999999,188.40668,0,175.18668,2025-07,1,942.0333999999999
CMD100061,2025-07-11,C0020,Cotonou,Mode,Produit_Mode_44,40.15,2,0.09,9.86,Mobile Money,Instagram Ads,13.97,Livrée,73.073,32.88285,0,9.052849999999998,2025-07,10,2205.4971
CMD100062,2025-09-02,C0724,Abidjan,Électronique,Produit_Électronique_40,330.79,2,0.09,3.5,Paiement à la livraison,Google Ads,4.4,Livrée,602.0378000000001,120.40756000000002,0,112.50756000000001,2025-09,4,1207.0606500000001
CMD100063,2025-08-09,C0484,Kinshasa,Mode,Produit_Mode_27,51.33,1,0.18,9.46,Mobile Money,Google Ads,3.44,Livrée,42.0906,18.94077,0,6.04077,2025-08,3,1373.7621
CMD100064,2025-07-07,C0170,Douala,Mode,Produit_Mode_18,28.78,1,0.1,8.08,Mobile Money,Instagram Ads,8.22,Livrée,25.902,11.6559,0,-4.6441,2025-07,16,5923.7144
CMD100065,2025-08-10,C0221,Douala,Mode,Produit_Mode_15,7.92,3,0.08,9.93,Paiement à la livraison,Google Ads,5.04,Retournée,21.859199999999998,9.83664,1,-14.969999999999999,2025-08,12,2720.125
CMD100066,2025-08-21,C0942,Abidjan,Électronique,Produit_Électronique_15,422.02,1,0.25,7.32,Mobile Money,Instagram Ads,7.02,Livrée,316.515,63.303,0,48.962999999999994,2025-08,4,580.7244
CMD100067,2025-07-07,C0816,Abidjan,Mode,Produit_Mode_50,45.3,1,0.22,6.32,Carte,Email,1.57,Livrée,35.333999999999996,15.900299999999998,0,8.010299999999997,2025-07,2,59.31869999999999
CMD100068,2025-09-10,C0260,Douala,Mode,Produit_Mode_2,21.84,2,0.28,4.68,Virement,Email,0.68,Livrée,31.4496,14.15232,0,8.79232,2025-09,16,4818.3107
CMD100069,2025-07-30,C0534,Lomé,Électronique,Produit_Électronique_3,206.39,1,0.07,8.23,Virement,Email,2.0,Livrée,191.94269999999997,38.38854,0,28.15854,2025-07,2,242.30669999999998
CMD100070,2025-07-28,C0176,Kinshasa,Électronique,Produit_Électronique_28,393.79,2,0.26,8.38,Virement,Instagram Ads,6.11,Livrée,582.8092,116.56184000000002,0,102.07184000000002,2025-07,22,4780.5404
CMD100071,2025-12-03,C0236,Kinshasa,Électronique,Produit_Électronique_17,620.91,1,0.06,3.45,Mobile Money,Google Ads,4.26,Livrée,583.6554,116.73108,0,109.02108,2025-12,17,6326.5935
CMD100072,2025-07-12,C0003,Douala,Maison,Produit_Maison_24,84.37,2,0.09,6.74,Mobile Money,Google Ads,4.28,Livrée,153.5534,53.74369,0,42.72369,2025-07,26,9473.0849
CMD100073,2025-10-19,C0340,Libreville,Électronique,Produit_Électronique_43,121.03,1,0.07,7.89,Virement,Influenceur,10.79,Livrée,112.55789999999999,22.51158,0,3.831579999999999,2025-10,20,4694.0243
CMD100074,2025-08-01,C0615,Libreville,Électronique,Produit_Maison_21,80.42,1,0.1,6.86,Paiement à la livraison,Instagram Ads,13.37,Livrée,72.378,14.4756,0,-5.7543999999999995,2025-08,2,139.338
